 [-77.0, -67.0, -74.0, -82.0, -75.0, -74.0],
 [-71.0, -68.0, -74.0, -81.0, -73.0, -70.0],
 [-69.0, -71.0, -75.0, -79.0, -71.0, -69.0],
 [-75.0, -72.0, -77.0, -76.0, -75.0, -75.0],
 [-74.0, -72.0, -74.0, -77.0, -69.0, -72.0],
 [-75.0, -73.0, -73.0, -76.0, -68.0, -73.0],
 [-75.0, -72.0, -73.0, -75.0, -67.0, -72.0],
 [-73.0, -70.0, -75.0, -75.0, -64.0, -70.0],
 [-72.0, -67.0, -79.0, -75.0, -65.0, -69.0],
 [-74.0, -66.0, -82.0, -77.0, -71.0, -70.0],
 [-76.0, -66.0, -79.0, -80.0, -73.0, -72.0],
 [-77.0, -66.0, -74.0, -83.0, -71.0, -73.0],
 [-75.0, -66.0, -74.0, -79.0, -70.0, -71.0],
 [-74.0, -66.0, -79.0, -71.0, -73.0, -71.0],
 [-78.0, -69.0, -76.0, -75.0, -68.0, -71.0],
 [-76.0, -70.0, -76.0, -75.0, -66.0, -71.0],
 [-73.0, -71.0, -76.0, -74.0, -63.0, -71.0],
 [-70.0, -69.0, -76.0, -73.0, -61.0, -70.0],
 [-69.0, -67.0, -77.0, -72.0, -62.0, -68.0],
 [-70.0, -65.0, -78.0, -71.0, -67.0, -69.0],
 [-73.0, -66.0, -78.0, -71.0, -70.0, -71.0],
 [-75.0, -66.0, -76.0, -74.0, -69.0, -74.0],
 [-74.0, -64.0, -77.0, -74.0, -69.0, -73.0],
 [-70.0, -60.0, -79.0, -72.0, -71.0, -69.0],
 [-81.0, -68.0, -77.0, -72.0, -67.0, -69.0],
 [-78.0, -68.0, -79.0, -72.0, -66.0, -69.0],
 [-73.0, -69.0, -78.0, -72.0, -64.0, -69.0],
 [-70.0, -68.0, -77.0, -72.0, -61.0, -70.0],
 [-69.0, -66.0, -75.0, -71.0, -61.0, -70.0],
 [-69.0, -65.0, -73.0, -67.0, -63.0, -70.0],
 [-70.0, -66.0, -75.0, -65.0, -65.0, -70.0],
 [-70.0, -67.0, -78.0, -66.0, -67.0, -72.0],
 [-69.0, -62.0, -80.0, -70.0, -69.0, -72.0],
 [-68.0, -57.0, -79.0, -73.0, -69.0, -71.0],
 [-79.0, -69.0, -77.0, -71.0, -62.0, -68.0],
 [-78.0, -69.0, -78.0, -70.0, -63.0, -67.0],
 [-76.0, -68.0, -78.0, -72.0, -64.0, -68.0],
 [-73.0, -65.0, -78.0, -74.0, -64.0, -70.0],
 [-70.0, -64.0, -78.0, -74.0, -61.0, -73.0],
 [-69.0, -66.0, -76.0, -70.0, -60.0, -72.0],
 [-69.0, -68.0, -76.0, -68.0, -62.0, -70.0],
 [-68.0, -64.0, -77.0, -70.0, -66.0, -68.0],
 [-67.0, -59.0, -79.0, -72.0, -67.0, -69.0],
 [-68.0, -59.0, -80.0, -69.0, -66.0, -73.0],
 [-75.0, -71.0, -76.0, -71.0, -56.0, -69.0],
 [-77.0, -71.0, -77.0, -70.0, -58.0, -67.0],
 [-78.0, -68.0, -78.0, -72.0, -62.0, -67.0],
 [-76.0, -63.0, -80.0, -75.0, -64.0, -70.0],
 [-73.0, -62.0, -81.0, -76.0, -62.0, -74.0],
 [-71.0, -66.0, -81.0, -73.0, -60.0, -75.0],
 [-71.0, -68.0, -78.0, -73.0, -62.0, -72.0],
 [-69.0, -61.0, -75.0, -77.0, -65.0, -66.0],
 [-69.0, -57.0, -77.0, -75.0, -66.0, -66.0],
 [-70.0, -63.0, -80.0, -65.0, -64.0, -73.0],
 [-72.0, -72.0, -77.0, -73.0, -53.0, -71.0],
 [-75.0, -72.0, -79.0, -73.0, -55.0, -69.0],
 [-77.0, -71.0, -80.0, -73.0, -59.0, -68.0],
 [-76.0, -67.0, -80.0, -74.0, -63.0, -71.0],
 [-74.0, -65.0, -80.0, -74.0, -63.0, -75.0],
 [-73.0, -66.0, -80.0, -71.0, -62.0, -77.0],
 [-72.0, -65.0, -78.0, -73.0, -63.0, -76.0],
 [-72.0, -61.0, -75.0, -77.0, -67.0, -68.0],
 [-71.0, -61.0, -76.0, -75.0, -67.0, -66.0],
 [-71.0, -67.0, -79.0, -67.0, -64.0, -74.0],
 [-73.0, -72.0, -78.0, -74.0, -58.0, -74.0],
 [-74.0, -73.0, -81.0, -74.0, -57.0, -73.0],
 [-75.0, -72.0, -82.0, -73.0, -60.0, -72.0],
 [-74.0, -72.0, -81.0, -72.0, -62.0, -74.0],
 [-73.0, -69.0, -79.0, -70.0, -64.0, -76.0],
 [-73.0, -66.0, -77.0, -69.0, -64.0, -77.0],
 [-72.0, -63.0, -76.0, -71.0, -65.0, -75.0],
 [-73.0, -63.0, -76.0, -73.0, -69.0, -70.0],
 [-71.0, -66.0, -77.0, -74.0, -69.0, -69.0],
 [-68.0, -70.0, -79.0, -71.0, -66.0, -74.0],
 [-75.0, -74.0, -79.0, -72.0, -66.0, -78.0],
 [-75.0, -74.0, -81.0, -71.0, -64.0, -78.0],
 [-75.0, -73.0, -83.0, -70.0, -64.0, -77.0],
 [-75.0, -71.0, -82.0, -69.0, -65.0, -77.0],
 [-73.0, -69.0, -80.0, -69.0, -66.0, -78.0],
 [-70.0, -67.0, -78.0, -68.0, -66.0, -74.0],
 [-70.0, -66.0, -76.0, -68.0, -67.0, -71.0],
 [-72.0, -67.0, -76.0, -70.0, -70.0, -69.0],
 [-69.0, -70.0, -79.0, -72.0, -71.0, -71.0],
 [-61.0, -72.0, -83.0, -72.0, -68.0, -75.0],
 [-75.0, -75.0, -79.0, -69.0, -71.0, -78.0],
 [-76.0, -74.0, -81.0, -66.0, -70.0, -79.0],
 [-76.0, -71.0, -81.0, -66.0, -68.0, -79.0],
 [-75.0, -69.0, -82.0, -67.0, -69.0, -79.0],
 [-72.0, -69.0, -81.0, -68.0, -68.0, -77.0],
 [-68.0, -69.0, -79.0, -68.0, -67.0, -71.0],
 [-67.0, -69.0, -77.0, -68.0, -68.0, -67.0],
 [-69.0, -71.0, -78.0, -69.0, -69.0, -69.0],
 [-64.0, -73.0, -83.0, -70.0, -70.0, -74.0],
 [-56.0, -73.0, -86.0, -72.0, -70.0, -74.0],
 [-75.0, -74.0, -81.0, -65.0, -73.0, -75.0],
 [-75.0, -72.0, -81.0, -63.0, -71.0, -77.0],
 [-74.0, -70.0, -80.0, -64.0, -69.0, -78.0],
 [-73.0, -70.0, -80.0, -65.0, -69.0, -78.0],
 [-70.0, -71.0, -80.0, -67.0, -69.0, -76.0],
 [-67.0, -71.0, -79.0, -68.0, -69.0, -71.0],
 [-65.0, -71.0, -78.0, -69.0, -69.0, -68.0],
 [-65.0, -72.0, -81.0, -70.0, -70.0, -73.0],
 [-60.0, -74.0, -85.0, -70.0, -70.0, -77.0],
